,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,artist_genres,artist_popularity,track_popularity
84,Sway,0.667,0.545,1.0,-6.059,0.0,0.0535,0.237,0.0,0.167,0.729,93.898,track,6h47JdmyiSXDOavac4al1P,spotify:track:6h47JdmyiSXDOavac4al1P,https://api.spotify.com/v1/tracks/6h47JdmyiSXDOavac4al1P,https://api.spotify.com/v1/audio-analysis/6h47JdmyiSXDOavac4al1P,198511,4.0,Shwayze,"['indie pop rap', 'pop rap']",57.0,25.0
85,Together,0.483,0.0176,7.0,-25.501,0.0,0.052,0.994,0.928,0.0912,0.2,76.384,track,2pr6us08iPNzIex5q6fMvI,spotify:track:2pr6us08iPNzIex5q6fMvI,https://api.spotify.com/v1/tracks/2pr6us08iPNzIex5q6fMvI,https://api.spotify.com/v1/audio-analysis/2pr6us08iPNzIex5q6fMvI,301733,4.0,Manse,"['british soundtrack', 'compositional ambient', 'scorecore', 'soundtrack']",57.0,53.0
86,Bloom - Bonus Track,0.592,0.416,1.0,-9.794,1.0,0.0246,0.882,0.000586,0.112,0.417,96.002,track,41yIvlFgvGwxq8qTqAR7eG,spotify:track:41yIvlFgvGwxq8qTqAR7eG,https://api.spotify.com/v1/tracks/41yIvlFgvGwxq8qTqAR7eG,https://api.spotify.com/v1/audio-analysis/41yIvlFgvGwxq8qTqAR7eG,210080,4.0,The Paper Kites,"['australian indie folk', 'indie folk', 'stomp and holler']",70.0,73.0
87,Minimum,0.492,0.841,0.0,-9.181,0.0,0.0904,0.729,0.00027,0.101,0.313,177.869,track,6kND7UAXGZk2kfZbEWQ6e3,spotify:track:6kND7UAXGZk2kfZbEWQ6e3,https://api.spotify.com/v1/tracks/6kND7UAXGZk2kfZbEWQ6e3,https://api.spotify.com/v1/audio-analysis/6kND7UAXGZk2kfZbEWQ6e3,194907,4.0,Charlie Cunningham,"['british singer-songwriter', 'indie anthem-folk', 'indie folk']",63.0,65.0
88,Flaws,0.277,0.146,7.0,-11.845,1.0,0.037,0.918,0.0513,0.11,0.0394,113.856,track,2X01OHYkSP7t7jXyAULmbZ,spotify:track:2X01OHYkSP7t7jXyAULmbZ,https://api.spotify.com/v1/tracks/2X01OHYkSP7t7jXyAULmbZ,https://api.spotify.com/v1/audio-analysis/2X01OHYkSP7t7jXyAULmbZ,213273,4.0,Chloe Foy,['pop folk'],38.0,28.0
89,The Night We Met (feat. Phoebe Bridgers),0.424,0.437,2.0,-8.588,1.0,0.0355,0.962,0.336,0.664,0.131,174.127,track,0jZO7p0nBUi9VHedWUBS9l,spotify:track:0jZO7p0nBUi9VHedWUBS9l,https://api.spotify.com/v1/tracks/0jZO7p0nBUi9VHedWUBS9l,https://api.spotify.com/v1/audio-analysis/0jZO7p0nBUi9VHedWUBS9l,208173,3.0,Lord Huron,"['indie folk', 'indie pop', 'stomp and holler']",76.0,68.0
90,Conversation,0.242,0.137,2.0,-16.332,0.0,0.0322,0.901,0.0105,0.167,0.0644,92.454,track,18OdfcIf5JEpH6my78QbSH,spotify:track:18OdfcIf5JEpH6my78QbSH,https://api.spotify.com/v1/tracks/18OdfcIf5JEpH6my78QbSH,https://api.spotify.com/v1/audio-analysis/18OdfcIf5JEpH6my78QbSH,229560,3.0,Lucy Rose,"['ambient folk', 'british singer-songwriter', 'indie anthem-folk', 'indie folk']",60.0,31.0
91,Fallingwater,0.389,0.322,2.0,-8.933,1.0,0.0355,0.613,0.000534,0.093,0.453,86.929,track,2CPLGREl5ahzA2WPBMkpxh,spotify:track:2CPLGREl5ahzA2WPBMkpxh,https://api.spotify.com/v1/tracks/2CPLGREl5ahzA2WPBMkpxh,https://api.spotify.com/v1/audio-analysis/2CPLGREl5ahzA2WPBMkpxh,271200,4.0,Maggie Rogers,['indie pop'],71.0,64.0
92,Alaska - Acoustic,0.505,0.107,9.0,-9.303,0.0,0.0321,0.909,0.0,0.103,0.283,126.49,track,3rST7c7KrUNLAmWGb8ZKUI,spotify:track:3rST7c7KrUNLAmWGb8ZKUI,https://api.spotify.com/v1/tracks/3rST7c7KrUNLAmWGb8ZKUI,https://api.spotify.com/v1/audio-analysis/3rST7c7KrUNLAmWGb8ZKUI,263680,4.0,Maggie Rogers,['indie pop'],71.0,43.0
93,Godmanchester Chinese Bridge - Radio Edit,0.434,0.58,11.0,-5.524,0.0,0.0365,0.0558,0.0,0.105,0.108,95.884,track,10wKg1j4Mzfj9QQAy3TpJ1,spotify:track:10wKg1j4Mzfj9QQAy3TpJ1,https://api.spotify.com/v1/tracks/10wKg1j4Mzfj9QQAy3TpJ1,https://api.spotify.com/v1/audio-analysis/10wKg1j4Mzfj9QQAy3TpJ1,196715,3.0,The Howl & The Hum,"['english indie rock', 'york indie']",43.0,44.0
94,Feels Like This,0.384,0.165,2.0,-9.601,1.0,0.0446,0.958,0.0,0.101,0.333,68.469,track,53Wsf11ElpPr1WAGtRQlcx,spotify:track:53Wsf11ElpPr1WAGtRQlcx,https://api.spotify.com/v1/tracks/53Wsf11ElpPr1WAGtRQlcx,https://api.spotify.com/v1/audio-analysis/53Wsf11ElpPr1WAGtRQlcx,223347,4.0,Maisie Peters,"['alt z', 'electropop', 'indie cafe pop', 'indie pop', 'pop', 'uk pop']",67.0,55.0
95,Half the World Away,0.617,0.0947,8.0,-14.73,1.0,0.0422,0.947,6.05e-06,0.15,0.206,111.689,track,4TWshc0BwiunzoppGOqiYR,spotify:track:4TWshc0BwiunzoppGOqiYR,https://api.spotify.com/v1/tracks/4TWshc0BwiunzoppGOqiYR,https://api.spotify.com/v1/audio-analysis/4TWshc0BwiunzoppGOqiYR,198133,4.0,AURORA,"['art pop', 'norwegian pop']",82.0,55.0
96,"Decatur, or, Round of Applause for Your Step-Mother!",0.708,0.389,0.0,-10.06,1.0,0.0524,0.921,4.85e-05,0.74,0.433,130.008,track,31s3BSh3KbiOcOLURdab8f,spotify:track:31s3BSh3KbiOcOLURdab8f,https://api.spotify.com/v1/tracks/31s3BSh3KbiOcOLURdab8f,https://api.spotify.com/v1/audio-analysis/31s3BSh3KbiOcOLURdab8f,183907,4.0,Sufjan Stevens,"['baroque pop', 'chamber pop', 'freak folk', 'indie folk', 'singer-songwriter']",74.0,43.0
97,The Funeral,0.319,0.757,0.0,-6.117,0.0,0.0432,0.016,0.0,0.102,0.101,122.465,track,5lRzWDEe7UuedU2QPsFg0K,spotify:track:5lRzWDEe7UuedU2QPsFg0K,https://api.spotify.com/v1/tracks/5lRzWDEe7UuedU2QPsFg0K,https://api.spotify.com/v1/audio-analysis/5lRzWDEe7UuedU2QPsFg0K,322173,4.0,Band of Horses,"['indie folk', 'indie pop', 'indie rock', 'modern rock', 'stomp and holler']",64.0,70.0
98,Brownstone Alley,0.79,0.447,9.0,-12.033,1.0,0.165,0.698,5.14e-06,0.184,0.5,104.997,track,62ZVIZyKSc2YHJa1J5pIRd,spotify:track:62ZVIZyKSc2YHJa1J5pIRd,https://api.spotify.com/v1/tracks/62ZVIZyKSc2YHJa1J5pIRd,https://api.spotify.com/v1/audio-analysis/62ZVIZyKSc2YHJa1J5pIRd,211520,4.0,Freddy & Francine,['deep indie singer-songwriter'],28.0,14.0
99,Dangerous - Cleopold Remix,0.728,0.59,5.0,-9.97,1.0,0.0381,0.206,0.58,0.255,0.17,118.007,track,0slh6IyTop5t3FzyOvO6D2,spotify:track:0slh6IyTop5t3FzyOvO6D2,https://api.spotify.com/v1/tracks/0slh6IyTop5t3FzyOvO6D2,https://api.spotify.com/v1/audio-analysis/0slh6IyTop5t3FzyOvO6D2,284625,4.0,Nick Murphy,"['australian electropop', 'australian indie', 'downtempo']",51.0,31.0
