,endTime,artistName,trackName,msPlayed
2659,2020-07-16 21:21,Fantasy Footballers - Fantasy Football Podcast,AFC West Breakdown + Henry Gets Paid - Fantasy Football Podcast,1984007
2660,2020-07-16 21:51,Fantasy Footballers - Fantasy Football Podcast,AFC West Breakdown + Henry Gets Paid - Fantasy Football Podcast,1762720
2661,2020-07-16 21:51,Madison Beer,Selfish,16810
2662,2020-07-16 22:35,Blutch,Slow Cycle,219000
2663,2020-07-16 22:38,Beauvois,idontwannaknow,197407
2664,2020-07-16 22:41,Blonde Maze,The Kite (Outro),165456
2665,2020-07-16 22:44,Eric Sharp,Monday Blues - Radio Edit,211195
2666,2020-07-16 22:48,RL Grime,Atoms - Said the Sky Remix,255117
2667,2020-07-16 23:49,KOLIDESCOPES,Foundations,231619
2668,2020-07-16 23:52,San Holo,Honest,228000
2669,2020-07-16 23:56,Jonas Langer,April,228159
2670,2020-07-16 23:59,Yumi Zouma,Cool For A Second,189993
2671,2020-07-17 00:05,Adrian Lux,Life On Mars,338281
2672,2020-07-17 00:10,Sorrow,Cherie,308122
2673,2020-07-17 00:14,OCULA,Alpine,226451
2674,2020-07-17 00:18,Align,Found,227808
2675,2020-07-17 00:23,Past Palms,Rainwater,329993
2676,2020-07-17 00:27,Harrison Storm,Be Slow,205286
2677,2020-07-17 00:31,Cella,Imperfection,285157
2678,2020-07-17 00:34,James Vickery,Pressure (with SG Lewis),169411
2679,2020-07-17 00:38,Disco Lines,Honey,227555
2680,2020-07-17 00:41,cln,What I Know,175243
2681,2020-07-17 00:45,obylx,This Place,220120
2682,2020-07-17 00:48,Active Child,In Another Life,228626
2683,2020-07-17 00:51,Headphone Activist,Move That,147697
2684,2020-07-17 00:55,Amitė,Save Me,226350
2685,2020-07-17 01:24,Jerry Folk,Most People,31091
2686,2020-07-17 02:49,Astronomyy,Flamingo,119814
2687,2020-07-17 02:53,Kyle Lux,No Roof Access,201874
2688,2020-07-17 02:56,James Vickery,Pressure (with SG Lewis),169411
2689,2020-07-17 02:59,Disco Lines,Honey,227555
2690,2020-07-17 03:03,obylx,This Place,220120
2691,2020-07-17 03:06,Sen Morimoto,Woof,192326
2692,2020-07-17 03:10,Robotaki,Dreamcatcher,198545
2693,2020-07-17 03:13,Ehrling,Don't Wanna Miss You,202372
2694,2020-07-17 03:17,Juke Ross,Trading Places,223120
2695,2020-07-17 03:20,Frank Walker,Piano,166588
2696,2020-07-17 03:23,Chet Porter,Bummed (feat. Alison Wonderland),3805
2697,2020-07-17 03:23,Frank Walker,Can't Let Go (feat. Harry Hudson),208739
2698,2020-07-17 15:48,Kygo,What's Love Got to Do with It,208084
2699,2020-07-17 16:20,Loud Luxury,Aftertaste (Mixed),116671
2700,2020-07-17 16:22,Loud Luxury,Aftertaste (Mixed),77560
2701,2020-07-17 16:26,Gryffin,Hold You Tonight (with Chris Lane) - Acoustic,221981
2702,2020-07-17 16:30,Bob Moses,Desire - Single Edit,265281
2703,2020-07-17 16:34,David Guetta,Kill Me Slow,208095
2704,2020-07-17 16:38,Above & Beyond,Jam,244687
2705,2020-07-17 16:43,VER:WEST,5 Seconds Before Sunrise,275437
2706,2020-07-17 16:46,Zedd,Funny,221465
2707,2020-07-17 16:47,Shwayze,Hate Me,50438
2708,2020-07-17 16:51,Zedd,Funny,221465
